Stocks,Ticker,StockSector
Apple,AAPL,Technology
Uber Technologies,UBER,Technology
NVIDIA,NVDA,Technology
Microsoft,MSFT,Technology
Advanced Micro Devices,AMD,Technology
Discover,DFS,Financial
JP Morgan,JPM,Financial
Synchrony,SYF,Financial
American Express,AXP,Financial
Goldman Sachs,GS,Financial
Pfizer,PFE,Health Care
Johnson & Johnson,JNJ,Health Care
Merck Sharp & Dohme,MRK,Health Care
United Health Group,UNH,Health Care
ABBVie,ABBV,Health Care
Meta,META,Communication Services
Google,GOOG,Communication Services
Netflix,NFLX,Communication Services
T-Mobile,TMUS,Communication Services
The Walt Disney Services,DIS,Communication Services
Caterpillar,CAT,Industrials
RTX Coorporation,RTX,Industrials
The Boeing Company,BA,Industrials
Union Pacific Corperation,UNP,Industrials
Eaton Corporation plc,ETN,Industrials
