Asset,6M,1Y,1M,FullTime
AAPL,0.2250548484118915,0.2649306798164959,0.007938991312743005,2.474576332594504
ABBV,0.24072586452059297,0.426106603395652,0.04168168978006426,1.4571148645927177
AMD,-0.08269111946408014,0.26200448997772763,-0.17143356628979667,2.942666406902309
AXP,0.17591407694683214,0.8063629944475974,0.007852708021934607,1.3054557389012325
BA,-0.14549264886849367,-0.2258395402331782,-0.03149255258822303,-0.5736751485153441
CAT,0.11121737681159338,0.5923987331256484,-0.03736347771500348,1.635026337376233
DFS,0.2284605191452107,0.7417986464785495,0.05407474738407214,0.8255591007453722
DIS,-0.08311986035790742,0.1358880568943226,0.04589239144812596,-0.26388364397398845
ETN,0.030693638991098116,0.5712091903648404,0.008516887181111654,2.7004388388302236
GOOG,-0.009076147741383878,0.3147964299607442,0.042703358128252766,1.6538166065221636
GS,0.1873817851477726,0.608448904347245,0.06538358199611394,1.412599701607908
JNJ,0.06475258832199682,0.04631961269511309,-0.007396684055642866,0.20914781258372983
JPM,0.15509780964797937,0.548881153846154,0.05006406082799253,0.7129930383682967
META,0.22251410649483327,0.8195485762323853,-0.02111911383348597,1.9884102533791141
MRK,-0.22035589736325023,-0.016734330143189813,-0.06391006773773145,0.2796301180435783
MSFT,0.005179056580633112,0.16626985542868034,0.004688142691329,1.8561710170230596
NFLX,0.2605775132013204,0.7668378191844003,0.0883148955740729,1.647042460196714
NVDA,0.5450449726677462,2.1087657125038177,0.09544317964732874,25.95371651495449
PFE,0.007922218221102062,-0.10460652591170827,-0.04143838899183594,-0.21559534337713193
RTX,0.15257192233153316,0.43834624711863746,-0.04854058260198535,0.2747570552894192
SYF,0.2551358515573223,0.8845771144278607,0.10180337405468287,0.543183052688756
TMUS,0.4002712756609992,0.5398331636099687,0.09014543666159036,1.7743708554315814
UBER,0.05281842964645689,0.5528796230366488,-0.0058988339401445655,1.7524127411873511
UNH,0.13188685561118962,0.06805425384572916,-0.028326083104826427,1.2634121824459181
UNP,-0.035110198137011994,0.10248427609286082,-0.012665175257845496,0.32624475618112125
